participant_id,trial_id,block,border_color,figure,is_color_change,is_figure_change,is_update,is_correct,event_fixation,event_stimulus_on,event_stimulus_off,event_Trial_Offset,event_Trial_Onset,trial_mean,trial_max,trial_max_latency,trial_min,trial_min_latency,first_bin,last_bin,valid_blinks,blinks_mean
324124114,186,b_0,blue,X,no_color_change,figure_change,no_update,correct,4,256,757,2775,0,3.21366254488627,3.39297485351562,650,3.03032684326172,1550,3.09149932861328,3.32980346679688,0,NaN
324124114,187,b_1,red,X,no_color_change,no_figure_change,update,correct,4,256,758,2600,0,3.21101808547974,3.36729431152344,525,2.98312377929688,1475,3.34342956542969,3.17787170410156,0,NaN
324124114,188,b_1,red,Y,no_color_change,figure_change,update,correct,14,266,767,2875,0,3.21187138557434,3.415283203125,2375,3.06443023681641,1725,3.24150085449219,3.33499908447266,0,NaN
324124114,189,b_1,blue,Y,color_change,no_figure_change,no_update,correct,6,257,759,2575,0,3.28471986452738,3.41352844238281,25,3.16996765136719,400,3.41352844238281,3.31621551513672,0,NaN
324124114,190,b_1,blue,X,no_color_change,figure_change,no_update,correct,2,255,756,2700,0,3.20786960919698,3.32041931152344,775,3.07965087890625,1375,3.29081726074219,3.19293212890625,0,NaN
324124114,191,b_1,red,Y,color_change,figure_change,update,correct,5,257,759,2925,0,3.27667808532715,3.53290557861328,1075,2.99652862548828,2200,3.37050628662109,3.06885528564453,0,NaN
324124114,192,b_1,blue,Y,color_change,no_figure_change,no_update,correct,2,254,755,2675,0,3.15089193979899,3.32874298095703,2000,2.88911437988281,50,2.92247009277344,3.22611999511719,0,NaN
324124114,193,b_2,red,Y,no_color_change,no_figure_change,update,correct,23,276,778,2775,0,3.25381175676982,3.49858093261719,900,2.98668670654297,1375,3.36058044433594,3.08693695068359,0,NaN
324124114,194,b_2,blue,Y,color_change,no_figure_change,no_update,correct,4,256,757,2775,0,3.20907711982727,3.43108367919922,2400,3.02860260009766,2125,3.08611297607422,3.43108367919922,1,150
324124114,195,b_2,red,Y,color_change,no_figure_change,update,correct,1,253,754,3250,0,3.35803508758545,3.50259399414062,25,3.10782623291016,525,3.50259399414062,3.21968841552734,0,NaN
324124114,196,b_2,blue,X,color_change,figure_change,no_update,correct,4,256,758,3075,0,3.11898978551229,3.4541015625,1925,2.82603454589844,950,3.11378479003906,3.36824798583984,0,NaN
324124114,197,b_2,blue,Y,no_color_change,figure_change,no_update,correct,5,256,758,3325,0,3.62059196233749,3.79100799560547,1350,3.31714630126953,2300,3.48886108398438,3.55476150512695,1,125
324124114,198,b_2,red,X,color_change,figure_change,update,correct,3,255,757,3125,0,3.51512587070465,3.77621459960938,2175,3.190673828125,900,3.34926605224609,3.66341400146484,1,125
324124114,199,b_2,blue,X,color_change,no_figure_change,no_update,correct,5,257,759,3100,0,3.36177865664164,3.72182464599609,2275,3.13479614257812,750,3.40892028808594,3.6187744140625,0,NaN
324124114,200,b_2,red,X,color_change,no_figure_change,update,correct,3,255,756,3375,0,3.56919181346893,3.79341888427734,2400,3.12869262695312,1950,3.37355804443359,3.79341888427734,0,NaN
324124114,201,b_2,red,X,no_color_change,no_figure_change,update,correct,5,257,759,3350,0,3.74660289287567,4.02207946777344,900,2.93036651611328,2175,3.97788238525391,3.37178802490234,2,150
324124114,202,b_2,blue,X,color_change,no_figure_change,no_update,correct,2,254,756,3525,0,3.88577997684479,4.01955413818359,1325,3.58156585693359,200,3.81670379638672,3.96150970458984,1,250
324124114,203,b_2,red,X,color_change,no_figure_change,update,correct,6,257,758,3450,0,3.56002016862233,3.79020690917969,25,3.25597381591797,675,3.79020690917969,3.43132019042969,1,150
324124114,204,b_2,blue,Y,color_change,figure_change,no_update,correct,2,254,756,3025,0,3.36951025327047,3.57147979736328,75,2.90102386474609,1175,3.52731323242188,3.19270324707031,0,NaN
324124114,205,b_2,red,X,color_change,figure_change,update,correct,43,294,795,1750,0,2.76226914096886,3.05057525634766,425,2.49481201171875,750,2.9627685546875,2.93907928466797,0,NaN
324124114,206,b_3,red,X,no_color_change,no_figure_change,update,correct,1,253,755,2225,0,3.066082815106,3.27375030517578,2025,2.79241180419922,1325,3.04196929931641,3.11774444580078,0,NaN
324124114,207,b_3,red,X,no_color_change,no_figure_change,update,correct,6,258,760,2400,0,3.11314463615417,3.39212799072266,450,2.95093536376953,1725,3.15275573730469,3.06675720214844,0,NaN
324124114,208,b_3,blue,Y,color_change,figure_change,no_update,correct,36,288,790,2350,0,3.15091088477601,3.25937652587891,925,3.03064727783203,150,3.07314300537109,3.11753082275391,0,NaN
324124114,209,b_3,red,X,color_change,figure_change,update,correct,5,257,759,2975,0,3.28347333272298,3.66546630859375,2075,3.01654052734375,175,3.10514068603516,3.52206420898438,0,NaN
324124114,210,b_3,blue,Y,color_change,figure_change,no_update,correct,2,254,755,3525,0,3.666428287824,3.80884552001953,525,3.48299407958984,2375,3.68353271484375,3.49369812011719,1,175
324124114,211,b_3,red,Y,color_change,no_figure_change,update,correct,5,256,758,3525,0,3.5651961962382,3.82162475585938,475,3.14884185791016,2350,3.73734283447266,3.60652923583984,0,NaN
324124114,212,b_3,blue,Y,color_change,no_figure_change,no_update,correct,1,253,754,3500,0,3.73806341489156,3.99909210205078,2250,3.34066009521484,375,3.63797760009766,3.92531585693359,0,NaN
324124114,213,b_3,blue,X,no_color_change,figure_change,no_update,correct,4,256,757,3525,0,4.04023496309916,4.19955444335938,1500,3.81859588623047,1950,4.05882263183594,4.08701324462891,0,NaN
324124114,214,b_3,red,Y,color_change,figure_change,update,correct,1,253,754,2250,0,3.69802973820613,4.13313293457031,100,3.08784484863281,2125,4.12754058837891,3.30732727050781,0,NaN
324124114,215,b_3,blue,X,color_change,figure_change,no_update,correct,4,256,757,2000,0,3.29462602403429,3.71391296386719,950,3.02928924560547,2025,3.32115173339844,3.02928924560547,0,NaN
324124114,216,b_3,red,Y,color_change,figure_change,update,correct,1,253,754,2925,0,2.95217422644297,3.116455078125,200,2.77071380615234,2150,3.04840850830078,2.91638946533203,0,NaN
